"","maakunta","vuosi","toimiala","tuottavuus","nobs"
"216","Keski-Suomi",2013,"Rakentaminen",2.54429365268298,4438
"217","Kymenlaakso",2013,"Rakentaminen",2.7101531040932,3985
"218","Lappi",2013,"Rakentaminen",2.33052597886872,1506
"219","Päijät-Häme",2013,"Rakentaminen",2.73632905628432,1988
"220","Pirkanmaa",2013,"Rakentaminen",3.03538856357659,8629
"221","Pohjanmaa",2013,"Rakentaminen",2.42836448788244,2600
"222","Pohjois-Karjala",2013,"Rakentaminen",2.13258958917006,2891
"223","Pohjois-Pohjanmaa",2013,"Rakentaminen",1.97874464270658,6493
"224","Pohjois-Savo",2013,"Rakentaminen",1.9755173874896,5183
"225","Satakunta",2013,"Rakentaminen",2.73026830263482,4029
"226","Uusimaa",2013,"Rakentaminen",3.35903270228441,10635
"227","Varsinais-Suomi",2013,"Rakentaminen",3.12515334369252,13978
"228","Ahvenanmaa",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.249404374032527,15
"229","Etelä-Karjala",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.217903025653531,101
"230","Etelä-Pohjanmaa",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.389690331360448,101
"231","Etelä-Savo",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.0464114800682,106
"232","Kainuu",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.321442095299325,42
"233","Kanta-Häme",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.262481128520719,52
"234","Keski-Pohjanmaa",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.75306348126774,41
"235","Keski-Suomi",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.604654970704364,164
"236","Kymenlaakso",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.68980212973464,128
"237","Lappi",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.406788800259709,111
"238","Päijät-Häme",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.871922071263874,38
"239","Pirkanmaa",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",2.82465527654345,240
"240","Pohjanmaa",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",1.23669693811551,145
"241","Pohjois-Karjala",2013,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta",0.0211702636099161,126
