"","date","TOL","maakunta","yrityksiä","työntekijöitä"
"27769",NA,NA,"MK01 Uusimaa","6",18
"27770",NA,NA,"MK02 Varsinais-Suomi","1",6
"27771",NA,NA,"MK04 Satakunta","1",1
"27772",NA,NA,"MK05 Kanta-Häme","0",0
"27773",NA,NA,"MK06 Pirkanmaa","4",77
"27774",NA,NA,"MK07 Päijät-Häme","1",3
"27775",NA,NA,"MK08 Kymenlaakso","1",1
"27776",NA,NA,"MK09 Etelä-Karjala","0",0
"27777",NA,NA,"MK10 Etelä-Savo","0",0
"27778",NA,NA,"MK11 Pohjois-Savo","2",6
"27779",NA,NA,"MK12 Pohjois-Karjala","0",0
"27780",NA,NA,"MK13 Keski-Suomi","0",0
"27781",NA,NA,"MK14 Etelä-Pohjanmaa","2",11
"27782",NA,NA,"MK15 Pohjanmaa","0",0
"27783",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"27784",NA,NA,"MK17 Pohjois-Pohjanmaa","2",2
"27785",NA,NA,"MK18 Kainuu","0",0
"27786",NA,NA,"MK19 Lappi","1",6
"27787",NA,NA,"MA2 AHVENANMAA","0",0
"27788",NA,NA,"MK21 Ahvenanmaa","0",0
"27789",NA,"Rakennustoiminta","KOKO MAA","57",253
"27790",NA,NA,"MA1 MANNER-SUOMI","57",253
"27791",NA,NA,"MK01 Uusimaa","20",116
"27792",NA,NA,"MK02 Varsinais-Suomi","7",22
"27793",NA,NA,"MK04 Satakunta","0",0
"27794",NA,NA,"MK05 Kanta-Häme","2",6
"27795",NA,NA,"MK06 Pirkanmaa","5",7
"27796",NA,NA,"MK07 Päijät-Häme","2",7
"27797",NA,NA,"MK08 Kymenlaakso","1",1
"27798",NA,NA,"MK09 Etelä-Karjala","2",10
"27799",NA,NA,"MK10 Etelä-Savo","1",1
"27800",NA,NA,"MK11 Pohjois-Savo","0",0
"27801",NA,NA,"MK12 Pohjois-Karjala","0",0
"27802",NA,NA,"MK13 Keski-Suomi","1",1
"27803",NA,NA,"MK14 Etelä-Pohjanmaa","7",15
"27804",NA,NA,"MK15 Pohjanmaa","4",7
"27805",NA,NA,"MK16 Keski-Pohjanmaa","2",51
"27806",NA,NA,"MK17 Pohjois-Pohjanmaa","1",2
"27807",NA,NA,"MK18 Kainuu","0",0
"27808",NA,NA,"MK19 Lappi","2",7
"27809",NA,NA,"MA2 AHVENANMAA","0",0
"27810",NA,NA,"MK21 Ahvenanmaa","0",0
"27811",NA,"Kauppa","KOKO MAA","49",145
"27812",NA,NA,"MA1 MANNER-SUOMI","48",144
"27813",NA,NA,"MK01 Uusimaa","13",53
"27814",NA,NA,"MK02 Varsinais-Suomi","2",5
"27815",NA,NA,"MK04 Satakunta","4",8
"27816",NA,NA,"MK05 Kanta-Häme","2",4
"27817",NA,NA,"MK06 Pirkanmaa","4",4
"27818",NA,NA,"MK07 Päijät-Häme","4",7
"27819",NA,NA,"MK08 Kymenlaakso","2",16
"27820",NA,NA,"MK09 Etelä-Karjala","1",4
"27821",NA,NA,"MK10 Etelä-Savo","2",2
"27822",NA,NA,"MK11 Pohjois-Savo","4",9
"27823",NA,NA,"MK12 Pohjois-Karjala","2",3
"27824",NA,NA,"MK13 Keski-Suomi","1",6
"27825",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"27826",NA,NA,"MK15 Pohjanmaa","2",2
"27827",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"27828",NA,NA,"MK17 Pohjois-Pohjanmaa","4",20
"27829",NA,NA,"MK18 Kainuu","0",0
"27830",NA,NA,"MK19 Lappi","0",0
"27831",NA,NA,"MA2 AHVENANMAA","1",1
"27832",NA,NA,"MK21 Ahvenanmaa","1",1
"27833",NA,"Kuljetus ja varastointi","KOKO MAA","22",169
"27834",NA,NA,"MA1 MANNER-SUOMI","22",169
"27835",NA,NA,"MK01 Uusimaa","6",53
"27836",NA,NA,"MK02 Varsinais-Suomi","3",22
"27837",NA,NA,"MK04 Satakunta","3",15
"27838",NA,NA,"MK05 Kanta-Häme","0",0
"27839",NA,NA,"MK06 Pirkanmaa","1",3
"27840",NA,NA,"MK07 Päijät-Häme","0",0
"27841",NA,NA,"MK08 Kymenlaakso","2",12
"27842",NA,NA,"MK09 Etelä-Karjala","0",0
"27843",NA,NA,"MK10 Etelä-Savo","0",0
"27844",NA,NA,"MK11 Pohjois-Savo","0",0
"27845",NA,NA,"MK12 Pohjois-Karjala","1",5
"27846",NA,NA,"MK13 Keski-Suomi","3",26
"27847",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"27848",NA,NA,"MK15 Pohjanmaa","0",0
"27849",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"27850",NA,NA,"MK17 Pohjois-Pohjanmaa","2",32
"27851",NA,NA,"MK18 Kainuu","0",0
"27852",NA,NA,"MK19 Lappi","1",1
"27853",NA,NA,"MA2 AHVENANMAA","0",0
"27854",NA,NA,"MK21 Ahvenanmaa","0",0
"27855",NA,"Majoitus- ja ravitsemistoiminta","KOKO MAA","23",96
"27856",NA,NA,"MA1 MANNER-SUOMI","22",86
"27857",NA,NA,"MK01 Uusimaa","7",42
"27858",NA,NA,"MK02 Varsinais-Suomi","0",0
"27859",NA,NA,"MK04 Satakunta","1",1
"27860",NA,NA,"MK05 Kanta-Häme","0",0
"27861",NA,NA,"MK06 Pirkanmaa","3",4
